Parameter Name;Error Severity;Details;
Ctrl_spdRiFrntWhl_BypC;Error;Missing calibration parameter;
Ctrl_spdRiReWhl_BypC;Error;Missing calibration parameter;
Ctrl_spdVehAvrFrntWhl_BypC;Error;Missing calibration parameter;
Ctrl_stBSIKeyImmo_BypC;Error;Missing calibration parameter;
Ctrl_stCMMStImmoReq_BypC;Error;Missing calibration parameter;
Ctrl_stCMMStImmoSnd_BypC;Error;Missing calibration parameter;
Ctrl_stCnvClu_BypC;Error;Missing calibration parameter;
Ctrl_stCpl_BypC;Error;Missing calibration parameter;
Ctrl_stCtlModFSF_BypC;Error;Missing calibration parameter;
Ctrl_stDftCod_BypC;Error;Missing calibration parameter;
Ctrl_stDragRed_BypC;Error;Missing calibration parameter;
Ctrl_stElLvlProd_BypC;Error;Missing calibration parameter;
Ctrl_stEngOpm_BypC;Error;Missing calibration parameter;
Ctrl_stEPB_BypC;Error;Missing calibration parameter;
Ctrl_stFuLvlDft_BypC;Error;Missing calibration parameter;
Ctrl_stFuSlowCorbank1_BypC;Error;Missing calibration parameter;
Ctrl_stFuSpdCorbank1_BypC;Error;Missing calibration parameter;
Ctrl_stGBxDft_BypC;Error;Missing calibration parameter;
Ctrl_stGearCtlReq_BypC;Error;Missing calibration parameter;
Ctrl_stGearRat_BypC;Error;Missing calibration parameter;
Ctrl_stGSTyp_BypC;Error;Missing calibration parameter;
Ctrl_stJDDEmi_BypC;Error;Missing calibration parameter;
Ctrl_stNRegTyp_BypC;Error;Missing calibration parameter;
Ctrl_stPosnCoVlvEstim_BypC;Error;Missing calibration parameter;
Ctrl_stUCCKeyImmo_BypC;Error;Missing calibration parameter;
Ctrl_stUnBlockAuthImmo_BypC;Error;Missing calibration parameter;
Ctrl_stUnBlockReq_BypC;Error;Missing calibration parameter;
Ctrl_stWkuMain_BypC;Error;Missing calibration parameter;
Ctrl_tAirExtMes5B2_BypC;Error;Missing calibration parameter;
Ctrl_tAirExtMes_BypC;Error;Missing calibration parameter;
Ctrl_tBattMes_BypC;Error;Missing calibration parameter;
Ctrl_tCoMesFineResl_BypC;Error;Missing calibration parameter;
Ctrl_tDsThrMes_BypC;Error;Missing calibration parameter;
Ctrl_tiCurVehTmr_BypC;Error;Missing calibration parameter;
Ctrl_tiVehCnt_BypC;Error;Missing calibration parameter;
Ctrl_tOilEstim_BypC;Error;Missing calibration parameter;
Ctrl_tOilGBx_BypC;Error;Missing calibration parameter;
Ctrl_tqAirASRReq_BypC;Error;Missing calibration parameter;
Ctrl_tqAirDrvFil_BypC;Error;Missing calibration parameter;
Ctrl_tqCkCAN_BypC;Error;Missing calibration parameter;
Ctrl_tqCkEngReal_BypC;Error;Missing calibration parameter;
Ctrl_tqEfcLim_BypC;Error;Missing calibration parameter;
Ctrl_tqMaxGBx_BypC;Error;Missing calibration parameter;
Ctrl_tqMinGBxMsg_BypC;Error;Missing calibration parameter;
Ctrl_tqMSRReq_BypC;Error;Missing calibration parameter;
Ctrl_tqReqGBx_BypC;Error;Missing calibration parameter;
Ctrl_tqRevAcv_BypC;Error;Missing calibration parameter;
Ctrl_tqSumLossCmp_BypC;Error;Missing calibration parameter;
Ctrl_tqWhlPTPotReq_BypC;Error;Missing calibration parameter;
Ctrl_uBattMinCkg_BypC;Error;Missing calibration parameter;
Ctrl_uBattRstrt_BypC;Error;Missing calibration parameter;
Ctrl_uEngOilLvl_BypC;Error;Missing calibration parameter;
Ctrl_uReqProdElec_BypC;Error;Missing calibration parameter;
Ctrl_vLeReWhlMes_BypC;Error;Missing calibration parameter;
Ctrl_volFuCnsTot_BypC;Error;Missing calibration parameter;
Ctrl_vRiReWhlMes_BypC;Error;Missing calibration parameter;
DmpVlv_bAcvCdnTq_C;Error;Missing calibration parameter;
DmpVlv_bAcvDetPmp_C;Error;Missing calibration parameter;
DmpVlv_bAcvDftMod_C;Error;Missing calibration parameter;
DmpVlv_bAcvDmpVlv_B;Error;Missing calibration parameter;
