Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile
Av_bmax_adapt_anti_k_cyl1|sint16|NVMSRV|1|1|15|KNKADPCOR_NvMRamBlockDataStruct.Av_bmax_adapt_anti_k_cyl1|0|0|Phys|°Vil|1|48/65536|0|Nvram|Nvram||Av_bmax_adapt_anti_k_cyl1||4||||||||0|1||||1|0|0||0
Srv_bPostEquDone|uint8|NVMSRV|1|0|0|POSTEQUSRV_NvMRamBlockDataStruct.Srv_bPostEquDone|0|0|Phys|bool|2|1|0|Nvram|Nvram||Srv_bPostEquDone||4||||||||0|1||||1|0|0||0
Ext_spdVehVSMaxPrmaReq1|uint8|NVMSRV|1|0|0|POSTEQUSRV_NvMRamBlockDataStruct.Ext_spdVehVSMaxPrmaReq1|0|0|Phys|Km/h|1|1|0|Nvram|Nvram||Ext_spdVehVSMaxPrmaReq1||4||||||||0|1||||1|0|0||0
Srv_PostEquIndice|uint8|NVMSRV|1|0|0|POSTEQUSRV_NvMRamBlockDataStruct.Srv_PostEquIndice|0|0|Phys|-|1|1|0|Nvram|Nvram||Srv_PostEquIndice||4||||||||0|1||||1|0|0||0
Tele_program_add_heat|uint8|NVMSRV|1|0|0|TELECODAGE_NvMRamBlockDataStruct.Tele_program_add_heat|0|0|Phys|-|1|1|0|Nvram|Nvram||Tele_program_add_heat||4||||||||0|1||||1|0|0||0
Tele_program_car|uint8|NVMSRV|1|0|0|TELECODAGE_NvMRamBlockDataStruct.Tele_program_car|0|0|Phys|-|1|1|0|Nvram|Nvram||Tele_program_car||4||||||||0|1||||1|0|0||0
Tele_program_press_clim|uint8|NVMSRV|1|0|0|TELECODAGE_NvMRamBlockDataStruct.Tele_program_press_clim|0|0|Phys|-|1|1|0|Nvram|Nvram||Tele_program_press_clim||4||||||||0|1||||1|0|0||0
Id_telecodage_eeprom|uint8|NVMSRV|1|0|0|TELECODAGE_NvMRamBlockDataStruct.Id_telecodage_eeprom|0|0|Phys|-|1|1|0|Nvram|Nvram||Id_telecodage_eeprom||4||||||||0|1||||1|0|0||0
Tele_program_gear_box|uint8|NVMSRV|1|0|0|TELECODAGE_NvMRamBlockDataStruct.Tele_program_gear_box|0|0|Phys|-|1|1|0|Nvram|Nvram||Tele_program_gear_box||4||||||||0|1||||1|0|0||0
Tele_program_fric|uint8|NVMSRV|1|0|0|TELECODAGE_NvMRamBlockDataStruct.Tele_program_fric|0|0|Phys|-|1|1|0|Nvram|Nvram||Tele_program_fric||4||||||||0|1||||1|0|0||0
Tele_program_nb|uint8|NVMSRV|1|0|0|TELECODAGE_NvMRamBlockDataStruct.Tele_program_nb|0|0|Phys|-|1|1|0|Nvram|Nvram||Tele_program_nb||4||||||||0|1||||1|0|0||0
Tele_program_alternator|uint16|NVMSRV|1|0|0|TELECODAGE_NvMRamBlockDataStruct.Tele_program_alternator|0|0|Phys|-|1|1|0|Nvram|Nvram||Tele_program_alternator||4||||||||0|1||||1|0|0||0
Tele_program_uc|uint32|NVMSRV|1|0|0|TELECODAGE_NvMRamBlockDataStruct.Tele_program_uc|0|0|Phys|-|1|1|0|Nvram|Nvram||Tele_program_uc||4||||||||0|1||||1|0|0||0
AccPEM_bAccPInvld|uint8|NVMSRV|1|0|0|ACCPEM_NvMRamBlockDataStruct.AccPEM_bAccPInvld|0|0|Phys|bool|2|1|0|Nvram|Nvram||AccPEM_bAccPInvld||4||||||||0|1||||1|0|0||0
Dv_1_app_pos_ped_pc|uint16|NVMSRV|1|0|0|ACCPLRNPOS_NvMRamBlockDataStruct.Dv_1_app_pos_ped_pc|0|0|Phys|%|1|100/16384|0|Nvram|Nvram||Dv_1_app_pos_ped_pc||4||||||||0|1||||1|0|0||0
Dv_1_app_pos_ped_pl|uint16|NVMSRV|1|0|0|ACCPLRNPOS_NvMRamBlockDataStruct.Dv_1_app_pos_ped_pl|0|0|Phys|%|1|100/16384|0|Nvram|Nvram||Dv_1_app_pos_ped_pl||4||||||||0|1||||1|0|0||0
Dv_2_app_pos_ped_pc|uint16|NVMSRV|1|0|0|ACCPLRNPOS_NvMRamBlockDataStruct.Dv_2_app_pos_ped_pc|0|0|Phys|%|1|100/16384|0|Nvram|Nvram||Dv_2_app_pos_ped_pc||4||||||||0|1||||1|0|0||0
Dv_2_app_pos_ped_pl|uint16|NVMSRV|1|0|0|ACCPLRNPOS_NvMRamBlockDataStruct.Dv_2_app_pos_ped_pl|0|0|Phys|%|1|100/16384|0|Nvram|Nvram||Dv_2_app_pos_ped_pl||4||||||||0|1||||1|0|0||0
Ext_tCoMesPwrl|sint16|NVMSRV|1|0|0|ACQCOT_NvMRamBlockDataStruct.Ext_tCoMesPwrl|0|0|Phys|°C|1|1|0|Nvram|Nvram||Ext_tCoMesPwrl||4||||||||0|1||||1|0|0||0
FISA_facOld_nvm|uint8|NVMSRV|1|0|0|CLCNFISAGAIN_NvMRamBlockDataStruct.FISA_facOld_nvm|0|0|Phys|-|1|1/128|0|Nvram|Nvram||FISA_facOld_nvm||4||||||||0|1||||1|0|0||0
StaCtl_ctDiagCluP_NV|uint8|NVMSRV|1|0|0|CLUPEDPOSNDIAG_NvMRamBlockDataStruct.StaCtl_ctDiagCluP_NV|0|0|Phys|-|1|1|0|Nvram|Nvram||StaCtl_ctDiagCluP_NV||4||||||||0|1||||1|0|0||0
Cps_switch_mal_utilise_cpt|uint8|NVMSRV|1|0|0|CLUSWTDIAG_NvMRamBlockDataStruct.Cps_switch_mal_utilise_cpt|0|0|Phys|-|1|1|0|Nvram|Nvram||Cps_switch_mal_utilise_cpt||4||||||||0|1||||1|0|0||0
CoFan_ctRskCritScFanC|uint8|NVMSRV|1|0|0|COFANCMDDIAG_NvMRamBlockDataStruct.CoFan_ctRskCritScFanC|0|0|Phys|-|1|1|0|Nvram|Nvram||CoFan_ctRskCritScFanC||4||||||||0|1||||1|0|0||0
CoFan_ctCritScFanC|uint8|NVMSRV|1|0|0|COFANCMDDIAG_NvMRamBlockDataStruct.CoFan_ctCritScFanC|0|0|Phys|-|1|1|0|Nvram|Nvram||CoFan_ctCritScFanC||4||||||||0|1||||1|0|0||0
Ext_dstVehTotMes|uint32|NVMSRV|1|0|0|FHCANF552_NvMRamBlockDataStruct.Ext_dstVehTotMes|0|0|Phys|Km|1|1|0|Nvram|Nvram||Ext_dstVehTotMes||4||||||||0|1||||1|0|0||0
Cpc_fuel_vapour_concentration|uint16|NVMSRV|1|0|0|CSTRFUCONCESTIM_NvMRamBlockDataStruct.Cpc_fuel_vapour_concentration|0|0|Phys|%|1|100/65536|0|Nvram|Nvram||Cpc_fuel_vapour_concentration||4||||||||0|1||||1|0|0||0
Afts_stSpcFactSTTReq_eep|uint8|NVMSRV|1|0|0|DCM_MANU_NvMRamBlockDataStruct.Afts_stSpcFactSTTReq_eep|0|0|Phys|-|1|1|0|Nvram|Nvram||Afts_stSpcFactSTTReq_eep||4||||||||0|1||||1|0|0||0
Afts_bInhIniRunReq_eep|uint8|NVMSRV|1|0|0|DCM_MANU_NvMRamBlockDataStruct.Afts_bInhIniRunReq_eep|0|0|Phys|bool|1|1|0|Nvram|Nvram||Afts_bInhIniRunReq_eep||4||||||||0|1||||1|0|0||0
Afts_bInhStSoCBatt_eep|uint8|NVMSRV|1|0|0|DCM_MANU_NvMRamBlockDataStruct.Afts_bInhStSoCBatt_eep|0|0|Phys|bool|1|1|0|Nvram|Nvram||Afts_bInhStSoCBatt_eep||4||||||||0|1||||1|0|0||0
UsThrM_pAirExtEstimRefOld|uint16|NVMSRV|1|0|0|DIAGAIREXTPRES_NvMRamBlockDataStruct.UsThrM_pAirExtEstimRefOld|0|0|Phys|Pa|1|8|0|Nvram|Nvram||UsThrM_pAirExtEstimRefOld||4||||||||0|1||||1|0|0||0
Tension_sonde_av_max_cycle|uint16|NVMSRV|1|0|0|DSO2SEN_NvMRamBlockDataStruct.Tension_sonde_av_max_cycle|0|0|Phys|V|1|5/1024|0|Nvram|Nvram||Tension_sonde_av_max_cycle||4||||||||0|1||||1|0|0||0
Tension_sonde_av_min_cycle|uint16|NVMSRV|1|0|0|DSO2SEN_NvMRamBlockDataStruct.Tension_sonde_av_min_cycle|0|0|Phys|V|1|5/1024|0|Nvram|Nvram||Tension_sonde_av_min_cycle||4||||||||0|1||||1|0|0||0
EcuSt_ctHotRst_Count|uint16|NVMSRV|1|0|0|ECUMNG_NvMRamBlockDataStruct.EcuSt_ctHotRst_Count|0|0|Phys|-|1|1|0|Nvram|Nvram||EcuSt_ctHotRst_Count||4||||||||0|1||||1|0|0||0
ESLim_tiCntOverNEngMax|uint16|NVMSRV|1|0|0|ENGRUNST_NvMRamBlockDataStruct.ESLim_tiCntOverNEngMax|0|0|Phys|s|1|5|0|Nvram|Nvram||ESLim_tiCntOverNEngMax||4||||||||0|1||||1|0|0||0
Dml_demarrage_count_eep|uint16|NVMSRV|1|0|0|DIVERS_EEP_FIXE_NvMRamBlockDataStruct.Dml_demarrage_count_eep|0|0|Phys|-|1|1|0|Nvram|Nvram||Dml_demarrage_count_eep||4||||||||0|1||||1|0|0||0
First_crank|uint8|NVMSRV|1|0|0|DIVERS_EEP_FIXE_NvMRamBlockDataStruct.First_crank|0|0|Phys|bool|2|1|0|Nvram|Nvram||First_crank||4||||||||0|1||||1|0|0||0
Ext_volFuCns|uint16|NVMSRV|1|0|0|FISARFUDET_NvMRamBlockDataStruct.Ext_volFuCns|0|0|Phys|mm3|1|8|0|Nvram|Nvram||Ext_volFuCns||4||||||||0|1||||1|0|0||0
Ext_bRFuDet|uint8|NVMSRV|1|0|0|FISARFUDET_NvMRamBlockDataStruct.Ext_bRFuDet|0|0|Phys|bool|1|1|0|Nvram|Nvram||Ext_bRFuDet||4||||||||0|1||||1|0|0||0
RFuDet_bRstAdp_nvm|uint8|NVMSRV|1|0|0|FISARFUDET_NvMRamBlockDataStruct.RFuDet_bRstAdp_nvm|0|0|Phys|bool|1|1|0|Nvram|Nvram||RFuDet_bRstAdp_nvm||4||||||||0|1||||1|0|0||0
FISA_facRst_nvm|uint8|NVMSRV|1|0|0|FISARFUDET_NvMRamBlockDataStruct.FISA_facRst_nvm|0|0|Phys|-|1|0.0078125|0|Nvram|Nvram||FISA_facRst_nvm||4||||||||0|1||||1|0|0||0
Ext_volFuOld|uint8|NVMSRV|1|0|0|FISARFUDET_NvMRamBlockDataStruct.Ext_volFuOld|0|0|Phys|L|1|0.5|0|Nvram|Nvram||Ext_volFuOld||4||||||||0|1||||1|0|0||0
Ext_ctSecPwrl|uint32|NVMSRV|1|0|0|FLOWMNG_NvMRamBlockDataStruct.Ext_ctSecPwrl|0|0|Phys|s|1|1|0|Nvram|Nvram||Ext_ctSecPwrl||4||||||||0|1||||1|0|0||0
Ext_ctVehPwrl|uint32|NVMSRV|1|0|0|FLOWMNG_NvMRamBlockDataStruct.Ext_ctVehPwrl|0|0|Phys|10^-1s|1|1|0|Nvram|Nvram||Ext_ctVehPwrl||4||||||||0|1||||1|0|0||0
Ext_ctVehPwrl2004|uint32|NVMSRV|1|0|0|FLOWMNG_NvMRamBlockDataStruct.Ext_ctVehPwrl2004|0|0|Phys|s|1|1|0|Nvram|Nvram||Ext_ctVehPwrl2004||4||||||||0|1||||1|0|0||0
Ext_ctDayPwrl|uint16|NVMSRV|1|0|0|FLOWMNG_NvMRamBlockDataStruct.Ext_ctDayPwrl|0|0|Phys|jour|1|1|0|Nvram|Nvram||Ext_ctDayPwrl||4||||||||0|1||||1|0|0||0
