Writer channel;Writer fault;Reader channel;Reader fault;Callback
DGOHAL_udtL9781_VBOOST;VBOOST_OVER_VOLTAGE;DGOHAL_udtVBOOST;VBOOST_OVER_VOLTAGE;NONE
DGOHAL_udtL9781_VBOOST;VBOOST_UNDER_VOLTAGE;DGOHAL_udtVBOOST;VBOOST_UNDER_VOLTAGE;NONE
DGOHAL_udtIGNITION_COIL_4;SUPPLY;DGO_COIL_CYLINDER_4;SUPPLY;NONE
DGOHAL_udtIGNITION_COIL_4;GROUND;DGO_COIL_CYLINDER_4;GROUND;NONE
DGOHAL_udtIGNITION_COIL_4;OPEN;DGO_COIL_CYLINDER_4;OPEN;NONE
DGOHAL_udtIGNITION_COIL_4;OVERLOAD;DGO_COIL_CYLINDER_4;OVERLOAD;NONE
DGOHAL_udtL9960_U2000_ACT_CH;L9960_OVER_CURRENT;DGOHAL_udtCMD_THR;L9960_OVER_CURRENT;NONE
DGOHAL_udtL9960_U2000_ACT_CH;L9960_OVER_TEMPERATURE;DGOHAL_udtCMD_THR;L9960_OVER_TEMPERATURE;NONE
DGOHAL_udtL9960_U2000_ACT_CH;L9960_OPEN_LOAD;DGOHAL_udtCMD_THR;L9960_OPEN_LOAD;NONE
DGOHAL_udtL9960_U2000_ACT_CH;L9960_OVERLOAD;DGOHAL_udtCMD_THR;L9960_OVERLOAD;NONE
DGOHAL_udtIGNITION_COIL_3;SUPPLY;DGO_COIL_CYLINDER_2;SUPPLY;NONE
DGOHAL_udtIGNITION_COIL_3;GROUND;DGO_COIL_CYLINDER_2;GROUND;NONE
DGOHAL_udtIGNITION_COIL_3;OPEN;DGO_COIL_CYLINDER_2;OPEN;NONE
